City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
275,Orangeburg,US,33.4918,-80.8557,82.17,89,1,6.91,clear sky,0.0,0
276,Cidreira,BR,-30.1811,-50.2056,57.79,94,40,3.69,scattered clouds,0.0,0
277,Hohhot,CN,40.8106,111.6522,62.89,88,27,4.47,mist,0.0,0
278,Akhnur,IN,32.8667,74.7333,81.5,52,0,4.79,clear sky,0.0,0
279,Avera,US,33.194,-82.5271,83.75,78,100,5.75,overcast clouds,0.0,0
280,Gogrial,SS,8.5332,28.1004,70.25,96,98,3.18,overcast clouds,0.0,0
281,Nago,JP,26.5881,127.9761,84.36,78,77,7.61,broken clouds,0.0,0
282,Sola,VU,-13.8833,167.55,75.87,88,90,9.22,overcast clouds,0.0,0
283,Hambantota,LK,6.1241,81.1185,78.67,80,100,18.03,overcast clouds,0.0,0
284,Tucurui,BR,-3.7661,-49.6725,78.48,63,21,4.16,few clouds,0.0,0
285,Pingzhuang,CN,42.0372,119.2889,63.75,96,100,3.49,overcast clouds,0.0,0
286,Salalah,OM,17.0151,54.0924,77.09,94,90,4.61,overcast clouds,0.0,0
287,Tura,IN,25.5198,90.2201,74.46,98,99,5.19,overcast clouds,0.0,0
288,Palaikastron,GR,35.2,26.25,74.97,69,0,15.84,clear sky,0.0,0
289,Jumla,NP,29.2747,82.1838,56.48,90,95,3.33,overcast clouds,0.0,0
290,Coihaique,CL,-45.5752,-72.0662,40.95,93,90,3.44,shower rain,0.38,0
291,Bonfim,BR,3.0833,-59.95,76.95,86,84,2.75,moderate rain,1.2,0
292,Los Zacatones,MX,22.95,-102.05,75.65,38,78,14.32,broken clouds,0.0,0
293,Brae,GB,60.3964,-1.353,48.11,78,98,17.09,overcast clouds,0.0,0
294,Soyo,AO,-6.1349,12.3689,72.3,92,39,6.49,scattered clouds,0.0,0
295,Puerto Madryn,AR,-42.7692,-65.0385,59.97,29,98,20.15,overcast clouds,0.0,0
296,Namibe,AO,-15.1961,12.1522,65.32,90,14,7.29,few clouds,0.0,0
297,San Juan,AR,-31.5375,-68.5364,61.56,21,13,4.79,few clouds,0.0,0
