City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
161,abeche,TD,2021-08-15 19:21:25,13.8292,20.8324,80.64,64,97,8.59,overcast clouds,0.0,0
162,staryy nadym,RU,2021-08-15 19:21:26,65.6118,72.6842,53.76,76,64,13.67,broken clouds,0.0,0
163,berck,FR,2021-08-15 19:21:26,50.4,1.6,64.38,72,75,12.66,broken clouds,0.0,0
164,belyy yar,RU,2021-08-15 19:21:26,53.6039,91.3903,58.89,88,0,4.47,clear sky,0.0,0
165,kindu,CD,2021-08-15 19:21:27,-2.95,25.95,75.06,70,7,2.86,clear sky,0.0,0
166,san pedro de ycuamandiyu,PY,2021-08-15 19:21:27,-24.0917,-57.0764,85.46,28,5,4.81,clear sky,0.0,0
167,vila,PT,2021-08-15 19:21:27,42.0304,-8.1588,73.33,63,0,5.97,clear sky,0.0,0
168,kruisfontein,ZA,2021-08-15 19:21:28,-34.0033,24.7314,56.88,72,0,5.82,clear sky,0.0,0
169,honiara,SB,2021-08-15 19:21:28,-9.4333,159.95,76.64,90,97,7.27,overcast clouds,0.0,0
170,fortuna,US,2021-08-15 19:21:28,40.5982,-124.1573,70.93,79,1,3.0,clear sky,0.0,0
171,castro,BR,2021-08-15 19:21:29,-24.7911,-50.0119,71.73,56,50,4.92,scattered clouds,0.0,0
172,haverfordwest,GB,2021-08-15 19:21:29,51.8017,-4.9691,62.19,90,79,7.0,broken clouds,0.0,0
173,oriximina,BR,2021-08-15 19:21:29,-1.7656,-55.8661,89.1,52,19,2.17,few clouds,0.0,0
174,constitucion,CL,2021-08-15 19:19:05,-35.3333,-72.4167,52.61,81,100,13.91,overcast clouds,0.0,0
175,chapadinha,BR,2021-08-15 19:21:05,-3.7417,-43.3603,92.48,35,93,2.82,overcast clouds,0.0,0
176,baykit,RU,2021-08-15 19:21:30,61.67,96.37,55.67,93,100,1.95,overcast clouds,0.0,0
177,bosaso,SO,2021-08-15 19:21:30,11.2842,49.1816,90.95,50,25,3.51,scattered clouds,0.0,0
178,tuatapere,NZ,2021-08-15 19:21:30,-46.1333,167.6833,52.83,80,100,6.82,overcast clouds,0.0,0
179,tiznit,MA,2021-08-15 19:21:31,29.5833,-9.5,96.01,13,29,0.54,scattered clouds,0.0,0
180,yerbogachen,RU,2021-08-15 19:21:31,61.2767,108.0108,57.02,85,85,11.39,overcast clouds,0.0,0
181,provideniya,RU,2021-08-15 19:21:31,64.3833,-173.3,48.31,76,90,11.18,moderate rain,0.0,0
182,itupeva,BR,2021-08-15 19:21:32,-23.1531,-47.0578,83.93,30,20,6.91,few clouds,0.0,0
183,yulara,AU,2021-08-15 19:21:32,-25.2406,130.9889,51.64,40,5,4.61,clear sky,0.0,0
184,guozhen,CN,2021-08-15 19:21:32,34.3659,107.359,71.35,78,100,3.15,overcast clouds,0.0,0
185,inhambane,MZ,2021-08-15 19:21:33,-23.865,35.3833,66.18,77,75,0.0,broken clouds,0.0,0
186,santa maria,BR,2021-08-15 19:16:55,-29.6842,-53.8069,70.9,56,40,3.44,scattered clouds,0.0,0
187,udachnyy,RU,2021-08-15 19:21:33,66.4167,112.4,52.23,78,100,3.89,overcast clouds,0.0,0
188,seryshevo,RU,2021-08-15 19:21:33,51.0933,128.3786,60.21,86,2,2.37,clear sky,0.0,0
189,sigli,ID,2021-08-15 19:21:34,5.3848,95.9609,77.74,80,100,4.63,moderate rain,0.0,0
190,antofagasta,CL,2021-08-15 19:21:34,-23.65,-70.4,58.28,71,15,10.63,few clouds,0.0,0
191,nouadhibou,MR,2021-08-15 19:21:34,20.931,-17.0347,75.18,83,15,14.97,few clouds,0.0,0
192,alofi,NU,2021-08-15 19:20:06,-19.0595,-169.9187,71.49,78,99,11.5,light rain,0.0,0
193,makakilo city,US,2021-08-15 19:21:35,21.3469,-158.0858,82.72,56,1,5.75,clear sky,0.0,0
194,haines junction,CA,2021-08-15 19:21:35,60.7522,-137.5108,53.55,66,100,9.22,overcast clouds,0.0,0
195,aswan,EG,2021-08-15 19:17:40,24.0934,32.907,93.34,14,0,10.63,clear sky,0.0,0
196,am timan,TD,2021-08-15 19:21:36,11.0297,20.2827,77.02,82,97,1.34,overcast clouds,0.0,0
197,kyra,RU,2021-08-15 19:21:36,49.5776,111.9753,55.45,91,53,0.38,broken clouds,0.0,0
198,lalmohan,BD,2021-08-15 19:21:36,22.3384,90.7419,82.99,84,100,12.33,heavy intensity rain,0.0,0
199,saquarema,BR,2021-08-15 19:21:37,-22.92,-42.5103,73.42,75,32,14.94,scattered clouds,0.0,0
200,tautira,PF,2021-08-15 19:21:37,-17.7333,-149.15,80.62,78,15,8.97,few clouds,0.0,0
201,narsaq,GL,2021-08-15 19:21:37,60.9167,-46.05,61.02,89,91,4.5,overcast clouds,0.0,0
202,poum,NC,2021-08-15 19:21:18,-20.2333,164.0167,70.05,66,98,17.36,overcast clouds,0.0,0
203,parainen,FI,2021-08-15 19:21:38,60.3067,22.301,59.45,80,69,19.6,broken clouds,0.0,0
204,santa marta,CO,2021-08-15 19:21:38,11.2408,-74.199,80.98,82,100,1.57,overcast clouds,0.0,0
205,atambua,ID,2021-08-15 19:21:38,-9.1061,124.8925,70.23,88,19,5.21,few clouds,0.0,0
206,new norfolk,AU,2021-08-15 19:21:39,-42.7826,147.0587,40.91,82,100,8.32,light rain,0.0,0
207,haian,CN,2021-08-15 19:21:39,32.5436,120.45,75.99,94,100,5.57,overcast clouds,0.0,0
208,port hedland,AU,2021-08-15 19:21:39,-20.3167,118.5667,68.05,42,7,6.91,clear sky,0.0,0
209,gat,IL,2021-08-15 19:17:04,31.61,34.7642,83.08,100,0,5.82,clear sky,0.0,0
210,filingue,NE,2021-08-15 19:21:40,14.3521,3.3168,92.5,42,100,4.56,overcast clouds,0.0,0
211,yuanping,CN,2021-08-15 19:21:40,38.7153,112.7575,62.83,92,1,0.78,clear sky,0.0,0
212,norman wells,CA,2021-08-15 19:21:40,65.282,-126.8329,53.64,94,90,2.3,light rain,0.0,0
213,alice springs,AU,2021-08-15 19:21:41,-23.7,133.8833,42.35,45,0,3.44,clear sky,0.0,0
214,mayumba,GA,2021-08-15 19:21:41,-3.432,10.6554,73.9,91,67,9.01,broken clouds,0.0,0
215,severo-kurilsk,RU,2021-08-15 19:21:41,50.6789,156.125,54.05,92,32,12.48,scattered clouds,0.0,0
216,luderitz,NA,2021-08-15 19:21:42,-26.6481,15.1594,56.91,73,1,6.33,clear sky,0.0,0
217,assens,DK,2021-08-15 19:21:42,55.2702,9.9008,66.09,87,82,4.81,broken clouds,0.0,0
218,yar-sale,RU,2021-08-15 19:21:42,66.8333,70.8333,52.66,76,100,19.6,overcast clouds,0.0,0
219,beringovskiy,RU,2021-08-15 19:21:43,63.05,179.3167,45.82,95,100,10.36,light rain,0.0,0
220,dicabisagan,PH,2021-08-15 19:21:43,17.0818,122.4157,77.25,87,97,3.36,heavy intensity rain,0.0,0
221,siocon,PH,2021-08-15 19:21:44,7.7061,122.1353,77.9,85,100,2.55,overcast clouds,0.0,0
222,oistins,BB,2021-08-15 19:21:44,13.0667,-59.5333,87.89,70,75,14.97,broken clouds,0.0,0
223,iralaya,HN,2021-08-15 19:21:44,15.0,-83.2333,89.69,62,7,7.47,clear sky,0.0,0
224,lebu,CL,2021-08-15 19:21:45,-37.6167,-73.65,50.13,91,100,22.95,overcast clouds,0.0,0
225,faanui,PF,2021-08-15 19:21:45,-16.4833,-151.75,78.85,73,16,13.04,few clouds,0.0,0
226,petropavlovsk-kamchatskiy,RU,2021-08-15 19:21:45,53.0452,158.6483,46.99,100,20,6.71,fog,0.0,0
